id,problem,answer,category
hard_058,"Let M=[[36,47,15],[17,46,8],[3,27,37]]. Compute trace(M^800788) modulo 50021.",7202,linear_algebra_matrix_power
hard_059,"Let x be the smallest nonnegative integer such that x ≡ 78 (mod 103), x ≡ 65 (mod 101), and x ≡ 52 (mod 109). Compute x^2 + 73x + 163 modulo 60013.",13193,number_theory_crt
hard_060,"In the coordinate plane, triangle vertices are A=(28,8), B=(115,82), C=(110,102). Let T = 2*Area(ABC) and Q = AB^2 + BC^2 + CA^2. Compute T^9 + Q^8 + TQ modulo 99989.",80922,geometry_coordinate
hard_061,Let S = 166^182470 + 125^235691 - 96^146592 + 48^32673. Compute S modulo 50021. Return the least nonnegative residue.,21581,number_theory_power_mix
hard_062,"Define A = sum_{k=0}^{71} (-1)^k * C(71, k) * (75+k)^75. Find A modulo 65521.",47875,combinatorics_finite_difference
hard_063,"Sequence (u_n) satisfies u_(n+2) = 92*u_(n+1) + 23*u_n with u_0=9628, u_1=54167. Compute u_870579 modulo 65521.",16121,recurrence_linear
hard_064,"Let F_0=0, F_1=1, and F_(t+2)=F_(t+1)+F_t. Compute B = F_586457878092*F_586457878093 + F_586458790617 modulo 65521.",19284,number_theory_fibonacci
hard_065,"Count integer tuples (x_1,...,x_9) with x_1+...+x_9=129 and 0 <= x_i <= 30 for all i. Give the count modulo 99989.",48234,combinatorics_bounded_compositions
hard_066,How many surjective functions exist from a set of size 34 to a set of size 11? Return the answer modulo 60013.,10417,combinatorics_surjection
hard_067,"Let P(x)=(1+x)^89(1+x^2)^55(1+x^3)^30. Find the coefficient of x^45 in P(x), modulo 65521.",53849,algebra_polynomial_coefficient
hard_068,"Let M=[[45,42,10],[31,40,34],[7,9,9]]. Compute trace(M^972544) modulo 99989.",55070,linear_algebra_matrix_power
hard_069,"Let x be the smallest nonnegative integer such that x ≡ 91 (mod 107), x ≡ 3 (mod 101), and x ≡ 56 (mod 109). Compute x^2 + 60x + 156 modulo 50021.",14750,number_theory_crt
hard_070,"In the coordinate plane, triangle vertices are A=(29,38), B=(107,34), C=(116,181). Let T = 2*Area(ABC) and Q = AB^2 + BC^2 + CA^2. Compute T^9 + Q^6 + TQ modulo 100000.",88672,geometry_coordinate
hard_071,Let S = 152^100221 + 17^72930 - 78^28882 + 92^59356. Compute S modulo 65521. Return the least nonnegative residue.,64610,number_theory_power_mix
hard_072,"Define A = sum_{k=0}^{63} (-1)^k * C(63, k) * (218+k)^70. Find A modulo 65521.",55966,combinatorics_finite_difference
hard_073,"Sequence (u_n) satisfies u_(n+2) = 28*u_(n+1) + 115*u_n with u_0=60043, u_1=78454. Compute u_1051806 modulo 99991.",68718,recurrence_linear
hard_074,"Let F_0=0, F_1=1, and F_(t+2)=F_(t+1)+F_t. Compute B = F_324495899948*F_324495899949 + F_324497243670 modulo 100000.",23234,number_theory_fibonacci
hard_075,"Count integer tuples (x_1,...,x_12) with x_1+...+x_12=163 and 0 <= x_i <= 20 for all i. Give the count modulo 60013.",51161,combinatorics_bounded_compositions
hard_076,How many surjective functions exist from a set of size 27 to a set of size 11? Return the answer modulo 60013.,41559,combinatorics_surjection
hard_077,"Let P(x)=(1+x)^40(1+x^2)^63(1+x^3)^61. Find the coefficient of x^151 in P(x), modulo 60013.",19634,algebra_polynomial_coefficient
hard_078,"Let M=[[3,31,44],[47,9,42],[24,31,43]]. Compute trace(M^330249) modulo 99991.",35310,linear_algebra_matrix_power
hard_079,"Let x be the smallest nonnegative integer such that x ≡ 28 (mod 109), x ≡ 15 (mod 103), and x ≡ 46 (mod 107). Compute x^2 + 22x + 36 modulo 50021.",24498,number_theory_crt
hard_080,"In the coordinate plane, triangle vertices are A=(35,6), B=(167,54), C=(95,110). Let T = 2*Area(ABC) and Q = AB^2 + BC^2 + CA^2. Compute T^11 + Q^6 + TQ modulo 99989.",34328,geometry_coordinate
