id,problem
xhard_051,"Sequence (u_n) satisfies u_(n+2) = 14*u_(n+1) + 11*u_n with u_0=36389, u_1=11153. Compute u_1347442 modulo 100000."
xhard_052,"Let F_0=0, F_1=1, and F_(t+2)=F_(t+1)+F_t. Compute B = F_339243346699*F_339243346700 + F_339243967345 modulo 50021."
xhard_053,"Count integer tuples (x_1,...,x_7) with x_1+...+x_7=62 and 0 <= x_i <= 12 for all i. Give the count modulo 100000."
xhard_054,How many surjective functions exist from a set of size 27 to a set of size 14? Return the answer modulo 50021.
xhard_055,"Let P(x)=(1+x)^83(1+x^2)^42(1+x^3)^59. Find the coefficient of x^145 in P(x), modulo 100000."
xhard_056,"Let M=[[42,10,15],[5,19,48],[42,49,5]]. Compute trace(M^1022154) modulo 50021."
xhard_057,"Let x be the smallest nonnegative integer such that x ≡ 46 (mod 101), x ≡ 82 (mod 109), and x ≡ 93 (mod 103). Compute x^2 + 24x + 84 modulo 50021."
xhard_058,"In the coordinate plane, triangle vertices are A=(17,75), B=(176,14), C=(52,140). Let T = 2*Area(ABC) and Q = AB^2 + BC^2 + CA^2. Compute T^4 + Q^3 + TQ modulo 50021."
xhard_059,"For a real number t, let floor(t) denote the greatest integer <= t. Define S = sum_(i=0)^(290334014507-1) floor((417013269i+154406703)/65521) + 293 * sum_(i=0)^(290334014507-1) floor((311620024i+899880791)/65521). Compute S + (417013269+154406703+311620024+899880791)^3 modulo 65521."
xhard_060,"Let p=1009. Compute T = C(968688379228869,306555756103093) + 17*C(317366523086707,215842008115182) + 968688379228869+215842008115182 modulo p. Return the least nonnegative residue."
xhard_061,"Define sequence (u_t) by u_(t+4)=81u_(t+3)+82u_(t+2)+73u_(t+1)+3u_t, with initial values u_0=17995, u_1=89246, u_2=82573, u_3=17360. Compute u_4907453 modulo 99989."
xhard_062,"Let G be the complete tripartite graph K_(151,42,49). How many spanning trees does G have? Return the result modulo 50021."
xhard_063,"Let N = 2^9 * 3^6 * 5^6. For each divisor d of N, define tau(d) as the number of positive divisors of d and phi(d) as Euler's totient. Compute
S = sum_(d|N) phi(d) * (tau(d)^2 + 6*tau(d) + 5) modulo 99991."
xhard_064,"Let M = 53295 and N = 236939539845. Let C be the number of integers x with 1 <= x <= N and gcd(x,M)=1. Compute C^2 + 35C + 348 modulo 100000."
xhard_065,Let S = 154^176431 + 150^65110 - 9^57930 + 77^14441. Compute S modulo 60013. Return the least nonnegative residue.
xhard_066,"Define A = sum_{k=0}^{60} (-1)^k * C(60, k) * (241+k)^67. Find A modulo 100000."
xhard_067,"Sequence (u_n) satisfies u_(n+2) = 95*u_(n+1) + 101*u_n with u_0=2556, u_1=6871. Compute u_1432048 modulo 50021."
xhard_068,"Let F_0=0, F_1=1, and F_(t+2)=F_(t+1)+F_t. Compute B = F_759097501552*F_759097501553 + F_759098503358 modulo 60013."
xhard_069,"Count integer tuples (x_1,...,x_9) with x_1+...+x_9=129 and 0 <= x_i <= 18 for all i. Give the count modulo 100000."
xhard_070,How many surjective functions exist from a set of size 26 to a set of size 13? Return the answer modulo 100000.
xhard_071,"Let P(x)=(1+x)^78(1+x^2)^57(1+x^3)^47. Find the coefficient of x^40 in P(x), modulo 60013."
xhard_072,"Let M=[[43,29,3],[3,31,44],[47,9,42]]. Compute trace(M^943419) modulo 65521."
xhard_073,"Let x be the smallest nonnegative integer such that x ≡ 78 (mod 103), x ≡ 92 (mod 109), and x ≡ 80 (mod 107). Compute x^2 + 39x + 59 modulo 60013."
xhard_074,"In the coordinate plane, triangle vertices are A=(47,21), B=(98,19), C=(49,100). Let T = 2*Area(ABC) and Q = AB^2 + BC^2 + CA^2. Compute T^9 + Q^7 + TQ modulo 99991."
xhard_075,"For a real number t, let floor(t) denote the greatest integer <= t. Define S = sum_(i=0)^(588127269143-1) floor((62054835i+976794188)/50021) + 46 * sum_(i=0)^(588127269143-1) floor((984734806i+758967720)/50021). Compute S + (62054835+976794188+984734806+758967720)^3 modulo 99991."
xhard_076,"Let p=2003. Compute T = C(163833873122660,43981680830245) + 27*C(71420020000019,799502826147) + 163833873122660+799502826147 modulo p. Return the least nonnegative residue."
xhard_077,"Define sequence (u_t) by u_(t+4)=12u_(t+3)+117u_(t+2)+38u_(t+1)+106u_t, with initial values u_0=29853, u_1=39570, u_2=55785, u_3=4794. Compute u_6118970 modulo 99991."
xhard_078,"Let G be the complete tripartite graph K_(77,163,84). How many spanning trees does G have? Return the result modulo 50021."
xhard_079,"Let N = 2^11 * 3^7 * 5^7. For each divisor d of N, define tau(d) as the number of positive divisors of d and phi(d) as Euler's totient. Compute
S = sum_(d|N) phi(d) * (tau(d)^2 + 2*tau(d) + 5) modulo 99989."
xhard_080,"Let M = 21318 and N = 822562685162. Let C be the number of integers x with 1 <= x <= N and gcd(x,M)=1. Compute C^2 + 49C + 51 modulo 99991."
xhard_081,Let S = 10^111154 + 142^248747 - 114^117655 + 67^38526. Compute S modulo 60013. Return the least nonnegative residue.
xhard_082,"Define A = sum_{k=0}^{64} (-1)^k * C(64, k) * (284+k)^66. Find A modulo 99989."
xhard_083,"Sequence (u_n) satisfies u_(n+2) = 65*u_(n+1) + 70*u_n with u_0=19058, u_1=81503. Compute u_274435 modulo 99991."
xhard_084,"Let F_0=0, F_1=1, and F_(t+2)=F_(t+1)+F_t. Compute B = F_850014949314*F_850014949315 + F_850016269963 modulo 99989."
xhard_085,"Count integer tuples (x_1,...,x_10) with x_1+...+x_10=129 and 0 <= x_i <= 24 for all i. Give the count modulo 100000."
xhard_086,How many surjective functions exist from a set of size 30 to a set of size 11? Return the answer modulo 99991.
xhard_087,"Let P(x)=(1+x)^43(1+x^2)^40(1+x^3)^54. Find the coefficient of x^70 in P(x), modulo 99989."
xhard_088,"Let M=[[5,27,7],[47,6,47],[45,7,33]]. Compute trace(M^389721) modulo 65521."
xhard_089,"Let x be the smallest nonnegative integer such that x ≡ 36 (mod 107), x ≡ 69 (mod 103), and x ≡ 77 (mod 109). Compute x^2 + 39x + 17 modulo 99989."
xhard_090,"In the coordinate plane, triangle vertices are A=(18,32), B=(115,89), C=(37,121). Let T = 2*Area(ABC) and Q = AB^2 + BC^2 + CA^2. Compute T^7 + Q^6 + TQ modulo 100000."
xhard_091,"For a real number t, let floor(t) denote the greatest integer <= t. Define S = sum_(i=0)^(600508736611-1) floor((386401766i+599845060)/99991) + 364 * sum_(i=0)^(600508736611-1) floor((567181816i+970500880)/99991). Compute S + (386401766+599845060+567181816+970500880)^3 modulo 60013."
xhard_092,"Let p=2003. Compute T = C(410802776823771,135467880345211) + 13*C(688114431962553,436010100411613) + 410802776823771+436010100411613 modulo p. Return the least nonnegative residue."
xhard_093,"Define sequence (u_t) by u_(t+4)=3u_(t+3)+86u_(t+2)+6u_(t+1)+45u_t, with initial values u_0=28950, u_1=47803, u_2=25423, u_3=5349. Compute u_4965146 modulo 50021."
xhard_094,"Let G be the complete tripartite graph K_(25,153,150). How many spanning trees does G have? Return the result modulo 50021."
xhard_095,"Let N = 2^11 * 3^6 * 5^7. For each divisor d of N, define tau(d) as the number of positive divisors of d and phi(d) as Euler's totient. Compute
S = sum_(d|N) phi(d) * (tau(d)^2 + 3*tau(d) + 9) modulo 100000."
xhard_096,"Let M = 35530 and N = 939646268821. Let C be the number of integers x with 1 <= x <= N and gcd(x,M)=1. Compute C^2 + 37C + 122 modulo 60013."
xhard_097,Let S = 98^92563 + 94^204191 - 51^54289 + 76^73263. Compute S modulo 65521. Return the least nonnegative residue.
xhard_098,"Define A = sum_{k=0}^{62} (-1)^k * C(62, k) * (161+k)^66. Find A modulo 99989."
xhard_099,"Sequence (u_n) satisfies u_(n+2) = 24*u_(n+1) + 62*u_n with u_0=4995, u_1=35299. Compute u_741485 modulo 65521."
xhard_100,"Let F_0=0, F_1=1, and F_(t+2)=F_(t+1)+F_t. Compute B = F_957507524402*F_957507524403 + F_957509137827 modulo 100000."
xhard_101,"Count integer tuples (x_1,...,x_12) with x_1+...+x_12=185 and 0 <= x_i <= 20 for all i. Give the count modulo 99989."
xhard_102,How many surjective functions exist from a set of size 27 to a set of size 14? Return the answer modulo 99989.
xhard_103,"Let P(x)=(1+x)^67(1+x^2)^76(1+x^3)^60. Find the coefficient of x^124 in P(x), modulo 65521."
xhard_104,"Let M=[[11,36,29],[14,30,47],[24,28,6]]. Compute trace(M^1294300) modulo 99991."
xhard_105,"Let x be the smallest nonnegative integer such that x ≡ 42 (mod 103), x ≡ 53 (mod 109), and x ≡ 42 (mod 107). Compute x^2 + 63x + 110 modulo 99989."
xhard_106,"In the coordinate plane, triangle vertices are A=(47,68), B=(131,10), C=(70,111). Let T = 2*Area(ABC) and Q = AB^2 + BC^2 + CA^2. Compute T^7 + Q^8 + TQ modulo 99991."
xhard_107,"For a real number t, let floor(t) denote the greatest integer <= t. Define S = sum_(i=0)^(831098449464-1) floor((459447658i+748619590)/65521) + 250 * sum_(i=0)^(831098449464-1) floor((391453788i+743099421)/65521). Compute S + (459447658+748619590+391453788+743099421)^3 modulo 99991."
xhard_108,"Let p=5003. Compute T = C(317677012657878,169432508501364) + 27*C(322758578671774,140498356045280) + 317677012657878+140498356045280 modulo p. Return the least nonnegative residue."
xhard_109,"Define sequence (u_t) by u_(t+4)=64u_(t+3)+80u_(t+2)+50u_(t+1)+5u_t, with initial values u_0=12591, u_1=32382, u_2=26335, u_3=6420. Compute u_5179903 modulo 50021."
xhard_110,"Let G be the complete tripartite graph K_(175,161,75). How many spanning trees does G have? Return the result modulo 60013."
xhard_111,"Let N = 2^11 * 3^8 * 5^6. For each divisor d of N, define tau(d) as the number of positive divisors of d and phi(d) as Euler's totient. Compute
S = sum_(d|N) phi(d) * (tau(d)^2 + 3*tau(d) + 8) modulo 50021."
xhard_112,"Let M = 4290 and N = 721091903195. Let C be the number of integers x with 1 <= x <= N and gcd(x,M)=1. Compute C^2 + 77C + 16 modulo 50021."
xhard_113,Let S = 193^229104 + 58^206877 - 106^156995 + 71^81738. Compute S modulo 50021. Return the least nonnegative residue.
xhard_114,"Define A = sum_{k=0}^{58} (-1)^k * C(58, k) * (166+k)^63. Find A modulo 99991."
xhard_115,"Sequence (u_n) satisfies u_(n+2) = 68*u_(n+1) + 45*u_n with u_0=35245, u_1=51416. Compute u_1516182 modulo 65521."
xhard_116,"Let F_0=0, F_1=1, and F_(t+2)=F_(t+1)+F_t. Compute B = F_935700689672*F_935700689673 + F_935701605042 modulo 65521."
xhard_117,"Count integer tuples (x_1,...,x_8) with x_1+...+x_8=73 and 0 <= x_i <= 15 for all i. Give the count modulo 65521."
xhard_118,How many surjective functions exist from a set of size 22 to a set of size 8? Return the answer modulo 99989.
xhard_119,"Let P(x)=(1+x)^48(1+x^2)^86(1+x^3)^34. Find the coefficient of x^149 in P(x), modulo 99991."
xhard_120,"Let M=[[25,10,31],[26,20,44],[39,15,12]]. Compute trace(M^1487225) modulo 60013."
